Ticker,CompanyName,LineItem,Year,Quarter,WebFiscalPeriod,OutputOrField,NumberOnly,LineSequence,Category,WebNumberFormat,QuarterEndDate,PeriodType,iDataType,Sector,Industry,SubIndustry,UpdateDate,LTCode,Currency,UIC,Period,Restatement,InSncUpdateDate,Scaler
ORLY,O'Reilly Automotive Inc,Total Revenue,2010,1Q,1Q10,A,1280.067,1,IS,N,3/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/28/2010,IS_P_101,USD,I_106-101,Q1,0,4/28/2010,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2010,1Q,1Q10,A,0.099951106,2,IS,P,3/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/28/2010,IS_P_101-Y,,I_106-101-Y,Q1,0,4/28/2010,
ORLY,O'Reilly Automotive Inc,Total Revenue,2007,FY,2007,A,2522.319,1,IS,N,12/31/2007,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/19/2008,IS_P_101,USD,I_106-101,FY,0,2/19/2008,Mn
ORLY,O'Reilly Automotive Inc,Total Revenue,2008,FY,2008,A,3576.553,1,IS,N,12/31/2008,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/18/2009,IS_P_101,USD,I_106-101,FY,0,2/18/2009,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2008,FY,2008,A,0.417962201,2,IS,P,12/31/2008,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/18/2009,IS_P_101-Y,,I_106-101-Y,FY,0,2/18/2009,
ORLY,O'Reilly Automotive Inc,Total Revenue,2009,FY,2009,A,4847.062,1,IS,N,12/31/2009,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/17/2010,IS_P_101,USD,I_106-101,FY,0,2/17/2010,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2009,FY,2009,A,0.355232818,2,IS,P,12/31/2009,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/17/2010,IS_P_101-Y,,I_106-101-Y,FY,0,2/17/2010,
ORLY,O'Reilly Automotive Inc,Total Revenue,2010,2Q,2Q10,A,1381.241,1,IS,N,6/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/28/2010,IS_P_101,USD,I_106-101,Q2,0,7/28/2010,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2010,2Q,2Q10,A,0.103776879,2,IS,P,6/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/28/2010,IS_P_101-Y,,I_106-101-Y,Q2,0,7/28/2010,
ORLY,O'Reilly Automotive Inc,Total Revenue,2010,3Q,3Q10,A,1425.887,1,IS,N,9/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/27/2010,IS_P_101,USD,I_106-101,Q3,0,10/27/2010,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2010,3Q,3Q10,A,0.133240187,2,IS,P,9/30/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,10/27/2010,IS_P_101-Y,,I_106-101-Y,Q3,0,10/27/2010,
ORLY,O'Reilly Automotive Inc,Total Revenue,2010,4Q,4Q10,A,1310.33,1,IS,N,12/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/16/2011,IS_P_101,USD,I_106-101,Q4,0,2/16/2011,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2010,4Q,4Q10,A,0.116412498,2,IS,P,12/31/2010,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/16/2011,IS_P_101-Y,,I_106-101-Y,Q4,0,2/16/2011,
ORLY,O'Reilly Automotive Inc,Total Revenue,2010,FY,2010,A,5397.525,1,IS,N,12/31/2010,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/16/2011,IS_P_101,USD,I_106-101,FY,0,2/16/2011,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2010,FY,2010,A,0.113566321,2,IS,P,12/31/2010,Yearly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,2/16/2011,IS_P_101-Y,,I_106-101-Y,FY,0,2/16/2011,
ORLY,O'Reilly Automotive Inc,Total Revenue,2011,1Q,1Q11,A,1382.738,1,IS,N,3/31/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/27/2011,IS_P_101,USD,I_106-101,Q1,0,4/27/2011,Mn
ORLY,O'Reilly Automotive Inc,  Y/Y - Total Revenue,2011,1Q,1Q11,A,0.08020752,2,IS,P,3/31/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,4/27/2011,IS_P_101-Y,,I_106-101-Y,Q1,0,4/27/2011,
ORLY,O'Reilly Automotive Inc,Total Revenue,2011,2Q,2Q11,A,1479.318,1,IS,N,6/30/2011,Quarterly,Current,Consumer Discretionary,Retail and Wholesale - Discretionary,Retail - Discretionary,7/27/2011,IS_P_101,USD,I_106-101,Q2,0,7/27/2011,Mn
